Title,Release,Genre,Rating,Runtime,Revenue,Decade
Lage Raho Munna Bhai,2006,Comedy,8.1,144,2.217561,2000
Million Dollar Baby,2004,Drama,8.1,132,100.492203,2000
Hotel Rwanda,2004,Biography,8.1,121,23.530892,2000
Taegukgi hwinalrimyeo,2004,Action,8.1,140,1.111061,2000
Before Sunset,2004,Drama,8.1,80,5.820649,2000
Munna Bhai M.B.B.S.,2003,Comedy,8.1,156,,2000
Salinui chueok,2003,Crime,8.1,131,0.014131,2000
Dil Chahta Hai,2001,Comedy,8.1,183,0.3,2000
Kill Bill: Vol. 1,2003,Action,8.1,111,70.099045,2000
Finding Nemo,2003,Animation,8.1,100,380.843261,2000
Catch Me If You Can,2002,Biography,8.1,141,164.615351,2000
Amores perros,2000,Drama,8.1,154,5.383834,2000
"Monsters, Inc.",2001,Animation,8.1,92,289.916256,2000
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,Animation,8.1,87,,1990
Lagaan: Once Upon a Time in India,2001,Adventure,8.1,224,0.070147,2000
The Sixth Sense,1999,Drama,8.1,107,293.506292,1990
La leggenda del pianista sull'oceano,1998,Drama,8.1,169,0.259127,1990
The Truman Show,1998,Comedy,8.1,103,125.618201,1990
"Crna macka, beli macor",1998,Comedy,8.1,127,0.34866,1990
The Big Lebowski,1998,Comedy,8.1,117,17.498804,1990
Fa yeung nin wah,2000,Drama,8.1,98,2.734044,2000
Trainspotting,1996,Drama,8.1,93,16.501785,1990
Fargo,1996,Crime,8.1,98,24.611975,1990
Underground,1995,Comedy,8.1,170,0.171082,1990
La haine,1995,Crime,8.1,98,0.309811,1990
Dilwale Dulhania Le Jayenge,1995,Drama,8.1,189,,1990
Before Sunrise,1995,Drama,8.1,101,5.535405,1990
Trois couleurs: Rouge,1994,Drama,8.1,99,4.043686,1990
Chung Hing sam lam,1994,Comedy,8.1,102,0.6002,1990
Jurassic Park,1993,Action,8.1,127,402.453882,1990
In the Name of the Father,1993,Biography,8.1,133,25.01041,1990
Ba wang bie ji,1993,Drama,8.1,171,5.216888,1990
Dà hóng denglong gaogao guà,1991,Drama,8.1,125,2.603061,1990
Dead Poets Society,1989,Comedy,8.1,128,95.860116,1980
Stand by Me,1986,Adventure,8.1,89,52.287414,1980
Platoon,1986,Drama,8.1,120,138.530565,1980
"Paris, Texas",1984,Drama,8.1,145,2.181987,1980
Kaze no tani no Naushika,1984,Animation,8.1,117,0.49577,1980
The Thing,1982,Horror,8.1,109,13.782838,1980
Pink Floyd: The Wall,1982,Drama,8.1,95,22.244207,1980
Fitzcarraldo,1982,Adventure,8.1,158,,1980
Fanny och Alexander,1982,Drama,8.1,188,4.97134,1980
Blade Runner,1982,Action,8.1,117,32.868943,1980
The Elephant Man,1980,Biography,8.1,124,,1980
Life of Brian,1979,Comedy,8.1,94,20.045115,1970
The Deer Hunter,1978,Drama,8.1,183,48.979328,1970
Rocky,1976,Drama,8.1,120,117.235247,1970
Network,1976,Drama,8.1,121,,1970
Barry Lyndon,1975,Adventure,8.1,185,,1970
Zerkalo,1975,Biography,8.1,107,0.177345,1970
Chinatown,1974,Drama,8.1,130,29.0,1970
Paper Moon,1973,Comedy,8.1,102,30.933743,1970
Viskningar och rop,1972,Drama,8.1,91,1.742348,1970
Solaris,1972,Drama,8.1,167,,1970
Le samouraï,1967,Crime,8.1,105,0.039481,1960
Cool Hand Luke,1967,Crime,8.1,127,16.217773,1960
Persona,1966,Drama,8.1,85,,1960
Andrei Rublev,1966,Biography,8.1,205,0.102021,1960
La battaglia di Algeri,1966,Drama,8.1,121,0.055908,1960
El ángel exterminador,1962,Drama,8.1,95,,1960
What Ever Happened to Baby Jane?,1962,Drama,8.1,134,4.05,1960
Sanjuro,1962,Action,8.1,96,,1960
The Man Who Shot Liberty Valance,1962,Drama,8.1,123,,1960
Ivanovo detstvo,1962,Drama,8.1,95,,1960
Jungfrukällan,1960,Drama,8.1,89,1.526,1960
Inherit the Wind,1960,Biography,8.1,128,,1960
Les quatre cents coups,1959,Crime,8.1,99,,1950
Ben-Hur,1959,Adventure,8.1,212,74.7,1950
Kakushi-toride no san-akunin,1958,Adventure,8.1,139,,1950
Le notti di Cabiria,1957,Drama,8.1,110,0.752045,1950
Kumonosu-jô,1957,Drama,8.1,110,,1950
The Bridge on the River Kwai,1957,Adventure,8.1,161,44.908,1950
On the Waterfront,1954,Crime,8.1,108,9.6,1950
Le salaire de la peur,1953,Adventure,8.1,131,,1950
Ace in the Hole,1951,Drama,8.1,111,3.969893,1950
White Heat,1949,Action,8.1,114,,1940
The Third Man,1949,Film-Noir,8.1,104,0.449191,1940
The Red Shoes,1948,Drama,8.1,135,10.9,1940
The Shop Around the Corner,1940,Comedy,8.1,99,0.2033,1940
Rebecca,1940,Drama,8.1,130,4.36,1940
Mr. Smith Goes to Washington,1939,Comedy,8.1,129,9.6,1930
Gone with the Wind,1939,Drama,8.1,238,198.676459,1930
La Grande Illusion,1937,Drama,8.1,113,0.172885,1930
It Happened One Night,1934,Comedy,8.1,105,4.36,1930
La passion de Jeanne d'Arc,1928,Biography,8.1,110,0.021877,1920
The Circus,1928,Comedy,8.1,72,,1920
Sunrise: A Song of Two Humans,1927,Drama,8.1,94,0.53954,1920
The General,1926,Action,8.1,67,1.033895,1920
